Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682552288.5368264,37.872911,-122.259861,35.4,1.0,0.4,0.2
1682552293.9609497,37.872961,-122.25989,38.8,0.4,0.4,0.0
1682552299.4660778,37.873015,-122.259918,41.6,1.4,0.4,0.2
1682552304.9190469,37.87303,-122.259923,37.8,0.8,0.0,0.0
1682552310.39811,37.873055,-122.259918,34.4,0.4,0.4,0.0
1682552315.8578486,37.873075,-122.259926,33.4,1.0,0.2,0.0
1682552321.357845,37.873073,-122.259925,33.0,1.0,0.4,0.0
1682552326.8357155,37.872958,-122.259888,38.0,0.6,0.0,0.0
1682552332.358831,37.872916,-122.259874,37.4,0.2,0.0,0.0
1682552337.8777344,37.872876,-122.259849,31.8,1.0,0.0,0.0
1682552343.43507,37.872851,-122.259848,39.8,0.4,0.2,0.4
1682552349.0302792,37.872896,-122.259898,37.0,0.8,0.0,0.0
1682552354.5980678,37.872936,-122.259916,40.0,1.2,0.4,0.2
1682552360.2037895,37.872935,-122.259925,37.2,1.2,0.4,0.2
1682552365.7754402,37.87292,-122.259916,36.8,1.4,0.0,0.0
1682552371.4119382,37.87291,-122.259909,36.2,0.8,0.4,0.2
1682552377.008779,37.872848,-122.259884,35.4,0.4,0.2,0.0
1682552382.6296058,37.872851,-122.259876,33.4,1.2,0.0,0.0
1682552388.2951534,37.872881,-122.259893,34.6,0.4,0.2,0.0
1682552393.9828193,37.872846,-122.259866,37.6,1.2,0.0,0.0
1682552399.6694357,37.872888,-122.25989,32.8,0.6,0.8,0.0
1682552405.4049637,37.872891,-122.259891,34.8,1.0,0.4,0.2
1682552411.1048636,37.872895,-122.259905,33.8,0.8,0.4,0.0
1682552416.8115244,37.872816,-122.259881,38.4,1.0,0.4,0.0
1682552422.647156,37.872733,-122.259843,32.8,0.8,0.2,0.0
1682552428.394279,37.872693,-122.259826,36.0,1.2,0.2,0.0
1682552434.2087305,37.8727,-122.259821,29.2,0.6,0.0,0.0
1682552439.95031,37.872708,-122.259818,35.0,1.0,0.2,0.2
1682552445.7321699,37.872743,-122.259798,35.4,0.2,0.2,0.0
1682552451.596985,37.872713,-122.259771,35.4,0.8,0.2,0.0
1682552457.4285686,37.87269,-122.259736,39.6,0.0,0.2,0.2
1682552463.3258243,37.872683,-122.259738,34.8,0.4,0.6,0.0
1682552469.233249,37.872668,-122.259718,35.2,0.4,0.4,0.0
1682552475.094173,37.872656,-122.259748,35.0,0.4,0.4,0.0
1682552480.9957368,37.872671,-122.259766,38.6,0.4,0.4,0.0
1682552487.0306056,37.872635,-122.259768,37.6,1.8,0.2,0.0
1682552493.6482496,37.872665,-122.259778,42.6,1.4,0.2,0.0
1682552499.7462687,37.872693,-122.259786,40.4,1.0,0.4,0.0
1682552505.788894,37.872698,-122.259793,38.2,0.6,0.0,0.2
1682552511.753208,37.872701,-122.259803,34.4,0.8,0.0,0.0
1682552517.7911286,37.872713,-122.259813,35.2,0.8,0.2,0.0
1682552523.7901976,37.87271,-122.259815,36.0,0.4,0.0,0.0
1682552529.847963,37.872701,-122.259816,37.6,1.0,0.6,0.0
1682552535.886512,37.872696,-122.25982,37.4,1.0,0.2,0.0
1682552541.8926792,37.872715,-122.259821,37.2,0.6,0.4,0.4
1682552547.9358165,37.872696,-122.259803,35.4,0.2,0.0,0.0
1682552553.9698043,37.872668,-122.259795,37.8,1.0,0.4,0.0
1682552560.0633643,37.872646,-122.259801,34.6,0.4,0.0,0.2
1682552566.130102,37.872665,-122.259806,36.6,0.6,0.0,0.0
1682552572.2356489,37.872671,-122.259813,39.2,1.2,0.2,0.0
1682552578.363915,37.872688,-122.259818,39.0,1.6,0.4,0.0
