Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682552745.9244034,37.872756,-122.259855,43.8,1.8,0.4,0.4
1682552751.4010184,37.872756,-122.259855,47.0,1.2,0.2,0.0
1682552756.804628,37.872756,-122.259855,43.0,1.4,0.2,0.0
1682552762.2461956,37.872756,-122.259855,50.4,1.0,0.2,0.2
1682552767.6601577,37.872756,-122.259855,42.2,2.2,0.2,0.0
1682552773.1338859,37.872756,-122.259855,42.6,1.6,0.8,0.0
1682552778.5796945,37.872756,-122.259855,46.0,1.0,0.2,0.0
1682552784.0769234,37.872756,-122.259855,44.2,1.2,0.2,0.0
1682552789.5474334,37.872756,-122.259855,45.0,1.2,0.6,0.0
1682552795.0743957,37.872756,-122.259855,38.2,1.0,0.0,0.0
1682552800.6068413,37.872756,-122.259855,39.2,2.4,0.0,0.0
1682552806.1689816,37.872756,-122.259855,46.0,1.2,0.2,0.0
1682552811.7090278,37.872756,-122.259855,44.8,1.2,0.6,0.0
1682552817.3522136,37.872756,-122.259855,46.8,1.0,0.4,0.0
1682552822.9463513,37.872756,-122.259855,45.6,0.6,0.0,0.0
1682552828.5626447,37.872756,-122.259855,44.8,2.0,0.4,0.0
1682552834.1663568,37.872756,-122.259855,40.4,1.8,0.2,0.0
1682552839.7704005,37.872756,-122.259855,46.8,1.6,0.2,0.0
1682552845.4461648,37.872756,-122.259855,42.4,0.4,0.8,0.0
1682552851.1150403,37.872756,-122.259855,47.2,1.4,0.6,0.0
1682552856.7556016,37.872756,-122.259855,44.6,2.0,0.2,0.0
1682552862.4565277,37.872756,-122.259855,46.2,1.0,1.0,0.0
1682552868.177235,37.872756,-122.259855,44.2,0.6,0.4,0.2
1682552873.868439,37.872756,-122.259855,43.8,1.0,0.6,0.0
1682552879.596031,37.872756,-122.259855,49.4,1.2,0.2,0.0
1682552885.347299,37.872756,-122.259855,49.6,1.8,0.2,0.0
1682552891.150513,37.872756,-122.259855,51.8,1.6,0.8,0.0
1682552896.9267583,37.872756,-122.259855,42.2,0.8,0.6,0.2
1682552902.7229345,37.872756,-122.259855,49.4,0.6,0.2,0.0
1682552908.5412526,37.872756,-122.259855,46.2,1.4,0.6,0.0
1682552914.3485303,37.872756,-122.259855,42.4,1.4,0.2,0.0
1682552920.1982927,37.872756,-122.259855,43.4,1.0,0.4,0.0
1682552926.0398188,37.872756,-122.259855,50.2,1.0,0.6,0.0
1682552931.880019,37.872756,-122.259855,43.6,1.6,0.0,0.0
1682552937.7619205,37.872756,-122.259855,42.4,1.2,0.6,0.0
1682552943.6503441,37.872756,-122.259855,47.2,2.4,0.0,0.0
1682552949.738104,37.872756,-122.259855,45.6,0.8,0.2,0.2
1682552955.7472985,37.872756,-122.259855,47.2,1.2,0.8,0.2
1682552961.793687,37.872756,-122.259855,42.2,1.0,0.2,0.2
1682552968.084587,37.872756,-122.259855,42.0,0.6,0.4,0.0
1682552974.0298946,37.872756,-122.259855,43.8,1.0,0.0,0.2
1682552980.0507002,37.872756,-122.259855,44.8,1.6,0.2,0.0
1682552986.0513446,37.872756,-122.259855,38.6,0.4,0.2,0.2
1682552992.0504296,37.872756,-122.259855,47.4,1.0,0.2,0.0
